NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO;MEDIA_NT_FG
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;317;3;1;10028;4004;1;2806701;28;2;40.46153846153846
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
2011;513;5;1;10028;4004;1;2211001;22;2;53.0625
