CO_CURSO,NT_GER,QE_I63_1,QE_I63_2,QE_I63_3,QE_I63_4,QE_I63_5,QE_I63_6,QE_I63_7,QE_I63_8,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F
10059,34.166666666666664,0.0,0.021739130434782608,0.08695652173913043,0.13043478260869565,0.32608695652173914,0.41304347826086957,0.021739130434782608,0.0,0.6739130434782609,0.0,0.043478260869565216,0.2391304347826087,0.043478260869565216,0.0
100684,30.02857142857143,0.0,0.0,0.0,0.125,0.0,0.5,0.0,0.375,1.0,0.0,0.0,0.0,0.0,0.0
100816,44.01904761904762,0.0,0.045454545454545456,0.09090909090909091,0.13636363636363635,0.36363636363636365,0.36363636363636365,0.0,0.0,0.5909090909090909,0.0,0.13636363636363635,0.18181818181818182,0.09090909090909091,0.0
101318,44.56,0.0,0.0,0.0,0.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.8181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0
101558,42.04090909090909,0.0,0.0,0.038461538461538464,0.11538461538461539,0.2692307692307692,0.5769230769230769,0.0,0.0,0.6153846153846154,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.19230769230769232,0.0
10159,26.613333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.6111111111111112,0.0,0.0,0.6111111111111112,0.0,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.0
101700,34.17777777777778,0.0,0.0,0.0,0.05263157894736842,0.21052631578947367,0.7368421052631579,0.0,0.0,0.7894736842105263,0.0,0.05263157894736842,0.15789473684210525,0.0,0.0
101710,35.80769230769231,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.5,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0
101712,39.25833333333333,0.0,0.037037037037037035,0.0,0.18518518518518517,0.2962962962962963,0.48148148148148145,0.0,0.0,0.7037037037037037,0.0,0.037037037037037035,0.25925925925925924,0.0,0.0
101830,37.089999999999996,0.0,0.0,0.0,0.14285714285714285,0.38095238095238093,0.42857142857142855,0.047619047619047616,0.0,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.23809523809523808,0.19047619047619047,0.0
